solute,solvent,dominant_interaction,dominant_feature_group,abs_error
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCC(C)O,TPSA,Thermo,0.09258880032200789
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCO,TPSA,Interact,0.11310837629201909
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCO,TPSA,Interact,0.12922862832090032
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCO,TPSA,Interact,0.07607402333211377
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCO,TPSA,Thermo,0.00890593235398951
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCO,TPSA,Thermo,0.018318878371139435
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCOC(C)=O,TPSA,Solvent,0.16210828844287084
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCOC(C)=O,TPSA,Solvent,0.1533036599001567
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCOC(C)=O,TPSA,Solvent,0.1823843107885046
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCOC(C)=O,TPSA,Thermo,0.19267412272377982
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCOC(C)=O,TPSA,Thermo,0.19956119522423243
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCC(C)O,abraham_B,Interact,0.22381127516815003
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCC(C)O,abraham_B,Interact,0.2769478352030541
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCCO,abraham_B,Interact,0.014542957442762017
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCCO,abraham_B,Interact,0.054251888380728364
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCCO,abraham_B,Interact,0.10026048981480717
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCCO,abraham_B,Thermo,0.11098817068625699
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCCO,abraham_B,Thermo,0.13009129149129306
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCCO,abraham_B,Thermo,0.13292439948054513
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCCO,abraham_B,Thermo,0.12754448520254624
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCCO,abraham_B,Thermo,0.12118687868952982
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCO,abraham_B,Interact,0.09513492265165469
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCO,abraham_B,Interact,0.16246906090125246
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCO,abraham_B,Interact,0.20052987180630244
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCO,abraham_B,Thermo,0.25541682945203537
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCO,abraham_B,Thermo,0.26932192803352484
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCO,abraham_B,Thermo,0.2915711024611676
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCO,abraham_B,Thermo,0.28165741818437984
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCCCO,abraham_B,Thermo,0.24567369636056258
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCO,abraham_B,Interact,0.1519592925858153
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCO,abraham_B,Interact,0.19713817110273202
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCO,abraham_B,Interact,0.23526644233969174
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCO,abraham_B,Thermo,0.28680554618911036
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CN1CCCC1=O,TPSA,Solvent,0.16524176897457088
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CN1CCCC1=O,TPSA,Solvent,0.12211028928705092
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CN1CCCC1=O,TPSA,Solvent,0.07057418031977147
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CN1CCCC1=O,TPSA,Solvent,0.02017673979794532
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CN1CCCC1=O,TPSA,Solvent,0.018102532147142414
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CN1CCCC1=O,TPSA,Solvent,0.04875051089230853
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CN1CCCC1=O,TPSA,Solvent,0.06844221874657763
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CN1CCCC1=O,TPSA,Solvent,0.08905752766805186
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,ClCCl,abraham_B,Solvent,0.1596928302660432
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,ClCCl,abraham_B,Solvent,0.1478081096347097
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,ClCCl,abraham_B,Solvent,0.11502102858552221
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,ClCCl,abraham_B,Solvent,0.032276616899110655
C=CC(=O)NC(C)(C)C,ClCCl,TPSA,Solute,0.04465479430746111
C=CC(=O)NC(C)(C)C,ClCCl,TPSA,Solute,0.09980427697410177
C=CC(=O)NC(C)(C)C,ClCCl,TPSA,Solute,0.12817441016050413
C=CC(=O)NC(C)(C)C,ClCCl,TPSA,Solute,0.14170771299856633
C=CC(=O)NC(C)(C)C,ClCCl,TPSA,Solute,0.16869371990334658
C=CC(=O)NC(C)(C)C,ClCCl,TPSA,Solute,0.15531956387356238
C=CC(=O)NC(C)(C)C,ClCCl,TPSA,Solute,0.19507936185192953
C=CC(=O)NC(C)(C)C,ClCCl,TPSA,Solute,0.16871088430775127
C=CC(=O)NC(C)(C)C,ClCCl,TPSA,Solute,0.20617591161866755
C=CC(=O)NC(C)(C)C,ClCCl,TPSA,Solute,0.18265392793162905
C=CC(=O)NC(C)(C)C,ClCCl,TPSA,Solute,0.22067177109448544
C=CC(=O)NC(C)(C)C,NC=O,MolLogP,Thermo,0.22129285848588065
C=CC(=O)NC(C)(C)C,NC=O,MolLogP,Thermo,0.1388169796577886
C=CC(=O)NC(C)(C)C,NC=O,MolLogP,Thermo,0.06680034701284704
C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,TPSA,Interact,0.020246724750502265
C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,TPSA,Interact,0.004244683630459489
C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,TPSA,Interact,0.015877738102701988
C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,TPSA,Interact,0.03417153849581167
C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,TPSA,Thermo,0.05857274926952649
C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,TPSA,Thermo,0.09326656195646565
C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,TPSA,Thermo,0.09938129927454264
C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,TPSA,Thermo,0.11365358218515009
C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,TPSA,Thermo,0.12182616116090605
C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,TPSA,Thermo,0.10079668804027464
C=CC(=O)NC(C)(C)CS(=O)(=O)O,OCCO,MolLogP,Interact,0.22484558667015553
C=CC(=O)NC(C)(C)CS(=O)(=O)O,OCCO,MolLogP,Interact,0.11947470700927654
C=CC(=O)NC(C)(C)CS(=O)(=O)O,OCCO,MolLogP,Interact,0.005427542443582123
C=CC(=O)NC(C)(C)CS(=O)(=O)O,OCCO,MolLogP,Thermo,0.077793878950986
C=CC(=O)NC(C)(C)CS(=O)(=O)O,OCCO,MolLogP,Thermo,0.13522563680894462
C=CC(=O)NC(C)(C)CS(=O)(=O)O,OCCO,MolLogP,Thermo,0.19143165621697622
C=CC(=O)NC(C)(C)CS(=O)(=O)O,OCCO,MolLogP,Thermo,0.23891144883560012
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,c1ccccc1,TPSA,Solute,0.23286167906494004
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,c1ccccc1,TPSA,Thermo,0.23371477289543696
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,c1ccccc1,TPSA,Thermo,0.25544755046484213
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,c1ccccc1,TPSA,Thermo,0.17975610094442085
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,c1ccccc1,TPSA,Thermo,0.15312893482693313
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,c1ccccc1,TPSA,Thermo,0.04915888999483853
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,c1ccccc1,TPSA,Thermo,0.030495445453215364
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,c1ccccc1,TPSA,Thermo,0.10645790488239215
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,c1ccccc1,TPSA,Thermo,0.23932772719591178
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,MolLogP,Solute,0.15685703267220308
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,MolLogP,Solute,0.19589226447977137
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,MolLogP,Solute,0.16308603848956688
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,MolLogP,Solute,0.15733029302657903
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,MolLogP,Solute,0.15398035162078477
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,MolLogP,Solute,0.15922794424988046
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,MolLogP,Solute,0.16741161117034098
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,MolLogP,Solute,0.1559076470936301
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,MolLogP,Solute,0.14022687132095177
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C,CS(C)=O,abraham_B,Solvent,0.05201741947795324
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C,CS(C)=O,abraham_B,Solvent,0.017185349893643842
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C,CS(C)=O,abraham_B,Solvent,0.03390888636159617
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C,CS(C)=O,abraham_B,Solvent,0.024439278289493993
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C,CS(C)=O,abraham_B,Solvent,0.034884501896807585
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C,CS(C)=O,abraham_B,Solvent,0.07630511517501426
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C,CS(C)=O,abraham_B,Solvent,0.12676111441800997
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C,CS(C)=O,abraham_B,Solvent,0.16940837634511552
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C,CS(C)=O,abraham_B,Solvent,0.21860561825337932
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C,CS(C)=O,abraham_B,Solvent,0.26315086227127094
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3CCC12C,CS(C)=O,abraham_B,Solvent,0.2377640980193066
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3CCC12C,CS(C)=O,abraham_B,Solvent,0.17561793785081742
CC(=O)C12OC1CC1C3CC=C4CC(=O)CCC4(C)C3CCC12C,CS(C)=O,abraham_B,Solvent,0.10578544608015278
CC(=O)N1CCCC1C(=O)O,CCC(C)O,HeavyAtomCount,Solute,0.11402539229256381
CC(=O)N1CCCC1C(=O)O,CCC(C)O,HeavyAtomCount,Solute,0.12086783842713733
CC(=O)N1CCCC1C(=O)O,CCC(C)O,HeavyAtomCount,Solute,0.13872304463497373
CC(=O)N1CCCC1C(=O)O,CCC(C)O,HeavyAtomCount,Solute,0.16448090617928787
CC(=O)N1CCCC1C(=O)O,CCC(C)O,HeavyAtomCount,Solute,0.18353462105422308
CC(=O)NC(CC(C)C)C(=O)O,CCC(C)O,TPSA,Solute,0.2134756026021981
CC(=O)NC(CC(C)C)C(=O)O,CCC(C)O,TPSA,Solute,0.21647995740141845
CC(=O)NC(CC(C)C)C(=O)O,CCC(C)O,TPSA,Solute,0.2131908278276453
CC(=O)NC(CC(C)C)C(=O)O,CCC(C)O,TPSA,Solute,0.21658802996915794
CC(=O)NC(CC(C)C)C(=O)O,CCC(C)O,TPSA,Solute,0.20197380637679935
CC(=O)NC(CC(C)C)C(=O)O,CCC(C)O,TPSA,Solute,0.17772913776947563
CC(=O)NC(CC(C)C)C(=O)O,CCC(C)O,TPSA,Solute,0.1656857645939383
CC(=O)NC(CC(C)C)C(=O)O,CCC(C)O,TPSA,Solute,0.14534657007013146
CC(=O)NC(CC(C)C)C(=O)O,CCC(C)O,TPSA,Solute,0.14186284816859684
CC(=O)NCC(=O)O,CCC(C)O,HeavyAtomCount,Interact,0.14963862451386656
CC(=O)NCC(=O)O,CCC(C)O,HeavyAtomCount,Interact,0.11315216108628845
CC(=O)NCC(=O)O,CCC(C)O,HeavyAtomCount,Interact,0.09077370786470706
CC(=O)NCC(=O)O,CCC(C)O,HeavyAtomCount,Interact,0.05765870520699168
CC(=O)NCC(=O)O,CCC(C)O,HeavyAtomCount,Interact,0.06061538757661
CC(=O)NCC(=O)O,CCC(C)O,HeavyAtomCount,Thermo,0.04836377109686785
CC(=O)NCC(=O)O,CCC(C)O,HeavyAtomCount,Thermo,0.077078015944132
CC(=O)NCC(=O)O,CCC(C)O,HeavyAtomCount,Thermo,0.0857935997556516
CC(=O)NCC(=O)O,CCC(C)O,HeavyAtomCount,Thermo,0.08399981923980904
CC(=O)NCC(=O)O,CCC(C)O,HeavyAtomCount,Thermo,0.07272682804414621
CC(=O)NCC(=O)O,CCC(C)O,HeavyAtomCount,Thermo,0.12590543511343932
CC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)O,MinPartialCharge,Solvent,0.05395310284761812
CC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)O,MinPartialCharge,Solvent,0.0702872938344421
CC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)O,MinPartialCharge,Solvent,0.06036057285206686
CC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)O,MinPartialCharge,Solvent,0.05399984285883208
CC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)O,MinPartialCharge,Thermo,0.05574495152463832
CC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)O,MinPartialCharge,Thermo,0.045550266659790895
CC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)O,MinPartialCharge,Thermo,0.06533266348496747
CC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)O,MinPartialCharge,Thermo,0.09285016135928903
CC(=O)Nc1ccc(C(=O)O)cc1,CC(=O)O,MinPartialCharge,Thermo,0.14227463964174936
CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,HeavyAtomCount,Interact,0.15908597750248377
CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,HeavyAtomCount,Interact,0.16354315653239282
CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,HeavyAtomCount,Interact,0.13381502016469016
CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,HeavyAtomCount,Interact,0.14463041475296
CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,HeavyAtomCount,Interact,0.13869928475707005
CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,HeavyAtomCount,Thermo,0.12465063353896699
CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,HeavyAtomCount,Thermo,0.120577361157999
CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,HeavyAtomCount,Thermo,0.08805278573047648
CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,HeavyAtomCount,Thermo,0.05300341413742604
CC(=O)Nc1ccc(O)cc1,CCOCCOCCO,NumRotatableBonds,Solute,0.28730711332390296
CC(=O)Nc1ccc(O)cc1,CCOCCOCCO,NumRotatableBonds,Solute,0.2347683647497532
CC(=O)Nc1ccc(O)cc1,CCOCCOCCO,NumRotatableBonds,Solute,0.22465881908821933
CC(=O)Nc1ccc(O)cc1,CCOCCOCCO,NumRotatableBonds,Solute,0.24100940556358097
CC(=O)Nc1ccc(O)cc1,CCOCCOCCO,NumRotatableBonds,Solute,0.2622293505757215
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CCCCCOC(C)=O,MinPartialCharge,Thermo,0.2847796860085514
CC(=O)Nc1ccccc1[N+](=O)[O-],CCCCCCCO,NumRotatableBonds,Solute,0.2999140500890338
CC(=O)Nc1ccccc1[N+](=O)[O-],CCCCCCCO,NumRotatableBonds,Solute,0.2735816386452732
CC(=O)Nc1ccccc1[N+](=O)[O-],CCCCCCCO,NumRotatableBonds,Solute,0.25110675611390104
CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,NumHDonors,Solute,0.17107758466764073
CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,NumHDonors,Solute,0.1706002711188903
CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,NumHDonors,Solute,0.16317045774695155
CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,NumHDonors,Solute,0.15485403570525846
CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,NumHDonors,Solute,0.1543998095591616
CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,NumHDonors,Solute,0.13615975852561402
CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,NumHDonors,Solute,0.12904911648942985
CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,NumHDonors,Solute,0.12246177026071903
CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,NumHDonors,Solute,0.10941309082619166
CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,NumHDonors,Solute,0.10834584892325216
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,COC(C)(C)C,abraham_B,Solvent,0.14305569621683478
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,COC(C)(C)C,abraham_B,Solvent,0.12373276174549241
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,COC(C)(C)C,abraham_B,Solvent,0.07621958253336958
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,COC(C)(C)C,abraham_B,Solvent,0.03046220805888078
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,COC(C)(C)C,abraham_B,Solvent,0.009800571995703056
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,COC(C)(C)C,abraham_B,Solvent,0.06286113364224288
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,COC(C)(C)C,abraham_B,Solvent,0.10923772807345156
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,COC(C)(C)C,abraham_B,Solvent,0.16545937270205036
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,COC(C)(C)C,abraham_B,Solvent,0.2263058818859638
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,COC(C)(C)C,abraham_B,Thermo,0.28833899073004376
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(=O)CC21C,ClCCCl,abraham_B,Solvent,0.2621816758049912
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(=O)CC21C,ClCCCl,abraham_B,Solvent,0.2192684870426288
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)C=CC4(C)C3C(=O)CC21C,ClCCCl,abraham_B,Solvent,0.1755341045298161
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,CN1CCCC1=O,TPSA,Solvent,0.10268959315201931
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,CN1CCCC1=O,TPSA,Solvent,0.07397350221467458
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,CN1CCCC1=O,TPSA,Solvent,0.08101918841579248
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,CN1CCCC1=O,TPSA,Solvent,0.09329097889125948
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,CN1CCCC1=O,TPSA,Solvent,0.11490993203726196
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,CN1CCCC1=O,TPSA,Solvent,0.1364760160387828
