SMILES,LogS
Cc1ccccc1OP(=S)(S)Oc1ccccc1C,-1.0605299646
Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c1C2=O,-2.5784
CNC(=O)O/N=C(/C)SC,-1.21
COc1cc(OC)cc(C(=O)N(O)c2ccccc2)c1,-3.1
CN1C2CCC1C(C(=O)O)C(O)C2,-0.02
O=c1[nH]c2cc(Cl)ccc2n1C1CC[NH2+]CC1,-2.6630758608
CN1C2CCC1[C@@H](C(=O)O)[C@@H](O)C2,-0.0173
Brc1ccccc1,-2.568561457
O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,-7.3213
CCCCCCCCP(=O)(O)O,-3.0148095518
CCCCC(NC(N)=O)C(=O)O,-2.16
COc1c(C(=O)O)cccc1C(=O)O,-2.2926
CCOc1ccccc1O,-1.1714515037
CCCC(=O)Oc1ccc(NC(C)=O)cc1,-2.83
C=C(C)C(=O)OC1CC(C)CC(C)(C)C1,-4.5985985087
C1CCCCCCCCCCC1,-7.0220260604
O=C1C=CC(=O)N1c1ccccc1,-2.3273175561
CCCCOP(=O)(CC)OCCCC,-1.5687
CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1,-4.8928048539999995
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,-4.8179
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,-1.9953026194
Cc1[nH]c(=O)n(C(C)C)c(=O)c1Br,-2.0604
CC(=O)NC(NC(C)=O)c1ccccc1,-1.3144
CN1CCN(C(c2ccccc2)c2ccccc2)CC1,-2.4255
CCCCOCC(C)OCC(C)O,-0.6530596225
C#CCCCCCC,-3.662
CCCCCCc1ccc(C(=O)O)cc1,-3.65
O=[N+]([O-])C12COP(=O)(OC1)OC2,-0.81
COC(=O)[C@@H]1CCCN1C(=O)COC(=O)c1ccccc1,-2.0841
CCCCCCCC(=O)OCn1cnc2c1c(=O)n(C)c(=O)n2C,-3.45
CCCC(C)(C)C,-4.3575
N=C(N)S(=O)O,-0.5567928158
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-4.5238
CNC(=O)Oc1cccc2c1OC(C)(C)C2,-2.42
COc1cc(N=Nc2c(Cl)cc([N+](=O)[O-])cc2[N+](=O)[O-])c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,-5.4630997896
COc1cc(/C=C/C(=O)O)ccc1O,-3.05
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,-0.2355
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.9789083532000005
C=C(C)C1CC=C(C)C(=O)C1,-2.0628
C=C(C)C(=O)O,0.0562733679
O=C(c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)N(O)c1ccccc1,-3.6367
CCC(C)(C)O,0.1266596907
O=CC(=O)c1ccccc1,-0.74
O=C1NC(=O)C2(CCC2)C(=O)N1,-1.66
CC/C=C/CCOC(=O)c1ccccc1O,-4.6439814041
Cc1oc(C(O)C(O)C(O)CO)cc1C(=O)O,-1.28
O=C1C(S(=O)(=O)O)=C(O)c2ccccc21,-2.23
CCOC(=O)/C=C/c1ccccc1,-3.0130467638
CC(O)CC(C)(C)c1ccccc1,-2.1472867242
Cc1ccc(N=Nc2cc(C)ccc2N)cc1,-3.9031
Nc1c2ccccc2nc2cc(F)ccc12,-2.12
CC(=O)Nc1cccc(C)c1,-2.0909999999999997
O=c1[nH]c2ccc([N+](=O)[O-])cc2[nH]1,-3.2740875474
O=[Cr]O[Cr]=O,-7.6862678201
CCSC(C(=O)O)c1ccccc1,-1.5686
CC(C)CC=O,-0.7590833569
CC(C)(O)C(=O)c1ccc(Cc2ccc(C(=O)C(C)(C)O)cc2)cc1,-4.536378597
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,-3.0887236136
O=C(O)c1cccc(C(=O)O)c1,-3.2204
CCCCOC(C)=O,-1.2199585633
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-2.4845
CCOC(=O)CCCC(=O)OCC,-1.3297
O=C(O)CCCc1ccccc1,-1.78
CC(C)(C)c1ccccc1,-3.658
NC(=S)Nc1ccccc1,-1.7898
Clc1ccc(-c2cc(Cl)cc(Cl)c2Cl)cc1,-6.77
Cc1ccc(C)c(O)c1C,-1.9355008883
CC/C(C)=C/CCC(C)=O,-2.1925860364
BrCCc1ccccc1,-3.6757
CC(C)(C)c1cccc(C(C)(C)C)c1O,-4.7135873776
CC(=O)OCC(C)C,-1.2657
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-2.88
C=CC(C)(O)/C=C/C1=C(C)CCCC1(C)C,-3.164147933
C#CC(C)N(C(=O)CCl)c1ccccc1,-2.6468
COc1ccc(CC2NC(=O)N(C(C)C(=O)O)C2=O)cc1,-0.86
C#CC1(OC(=O)C(C)(C)C)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-7.16
CC(C)N(C(=O)CO)c1ccc(F)cc1,-1.1786398993
CC(O)C1C(=O)N2C(C(=O)O)=C(SCC(=N)N(C)C)C(C)C12,-0.28
CC(=O)Nc1ccc(F)cc1C,-1.3593
OC(=S)CCCCCCCC(O)=S,-2.39
c1ccc(-c2ccccc2-c2ccccc2)cc1,-5.2692
Cc1ccc(C(C)C)c(O)c1C(=O)O,-3.2883
Cc1ccc(Br)cc1,-3.1917
NC(=O)C(Cl)Cl,-0.2558
Cc1cc(C)cc(O)c1,-1.3879839049
C#CC(C)(CC)OC(N)=O,-0.9456
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.0025
Oc1ccccc1-c1ccccc1,-2.5067117536000003
O=C(O)COc1ccc(Cl)cc1,-2.29
C=CCCCCC,-3.732
CCCCOC(=O)COc1ccc(Cl)cc1Cl,-3.78
OCc1ccc(Cl)c(Cl)c1,-2.0439
Cc1cc(C)c([PH](=O)O)c(C)c1,-2.7896
COC(=O)/C(C)=C/OP(=S)(OC)OC,-2.7785
CC(C)(OC1CCCCC1)C(=O)O,-1.0798
CN(C)c1ccc(C(=O)O)cc1,-3.3979
C=C(C)C(=O)OCCOCC,-0.9674738601
Cc1cc(O)ccc1S(=O)(=O)O,-0.29
Oc1c(Br)cc(Br)cc1Br,-3.6745
COc1ccc2cc(C(C)C(=O)OCC(=O)N(C)C)ccc2c1,-4.9
Nc1nc2c(ncn2COCCO)c(=O)[nH]1,-2.12
CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,-5.5263
Clc1ccc2c(c1)Oc1ccccc1O2,-5.8359
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,-4.8789
CO[Si](OC)(C(C)C)C(C)C,-6.2463311334
Brc1cc(Br)c(-c2ccccc2)c(Br)c1,-7.3
Clc1ccc(Oc2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.24
O=C(O)CNC(=O)CNS(=O)(=O)c1ccc2ccccc2c1,-2.6954
FC(F)(Cl)Cl,-1.99
OCC(Cl)(Cl)Cl,-0.2537
COc1cc(NS(=O)(=O)c2ccccc2)c2c(c1N)C(=O)c1ccccc1C2=O,-2.3558504459000003
O=c1ccc2cc3ccoc3cc2o1,-3.74
CCCCCCCCC(C)C#N,-4.6324209502
COC1=CC(=O)CC(C)C12Oc1cc(OC)cc(OC)c1C2=O,-3.699
CC(=O)OC(C)(C)C1CC=C(C)CC1,-3.931170339
O=C(O)c1cc(Cl)ccc1N=Nc1ccc(O)cc1,-3.86
OCCCCl,0.4223
CCCCCCCCCCCCCCO,-5.787142557
CC(C)Nc1nc(N)nc(Cl)n1,-2.7063
C=CCOC(=O)C(C)(C)OC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)ccc1Cl,-4.676528089
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-2.15
O=N/C=C1\C=CC=CN1,-1.0004518583
CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(Nc3ccccc3)c3ccccc23)cc1,-6.9891355524000005
C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.4325
C=CCN(CCC#N)c1cc(NC(C)=O)c(N=Nc2c(Br)cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1OC,-8.9
O=c1ccn(CCO)c(C(O)c2ccccc2)c1O,-2.82
COC(=O)c1ccccc1OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O,-0.7418
C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,-6.3372616649
O=c1[nH]c2nc[nH]c(=O)c2[nH]c1=O,-3.69
Cc1cc(C)c2ccccc2c1,-4.2907
CC1(C)CC(NCCCCCCNC2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1,-2.350745656
CCc1ccc2cc3ccccc3cc2c1,-6.8863
Nc1cccc(S(=O)(=O)O)c1,-1.2051065795
COC(=O)c1ccc(O)c(Cl)c1,-2.873
CC(C)CCCCCCCCCCCCCCCOC(=O)CC(O)C(=O)OCCCCCCCCCCCCCCCC(C)C,-7.9926275988
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,-7.602120788300001
Clc1cc(Oc2ccccc2)c(Cl)c(Cl)c1Cl,-7.52
COc1ccc(CCC(=O)O)cc1,-2.2144
CCC(C)(C)OO,-0.2165945745
NC(=O)N=NC(N)=O,-3.5462434596
Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,-8.72
Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,-5.859
CC(=O)OC1C(C2COC(C)(C)O2)OC2OC(C)(C)OC21,-1.52
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.1924
Clc1cc(Cl)c(Oc2ccc(Cl)c(Cl)c2)c(Cl)c1,-7.62
C#CCC,-1.2753
CCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.613
CC(=O)CCC1=C(C)CCCC1(C)C,-3.6550445763
CCc1ccc(C)nc1,-1.0042604536
CCCOC(=O)CCC,-1.905
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.47
CC12CCC(c3cnc(NS(=O)(=O)c4ccc(N)cc4)nc31)C2(C)C,-4.08
CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,-2.9648
CC1=CC(=O)[C@@H](C(C)C)CC1,-1.7882436903
O=C(O)CSC(SCC(=O)O)SCC(=O)O,-1.4243
CC12CCC(=O)C=C1C=CC1C2CCC2(C)C1CCC21CCC(=O)O1,-4.1007061575
CC1=NNC(=O)N(/N=C/c2cccnc2)C1,-2.8745
COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,-2.66
CC1OCC(c2ccccc2)O1,-1.805450609
Oc1ccc(Br)cc1Br,-2.1225
O=C(O)CCCNC(=O)c1ccccc1,-1.2025
O=C1CNC(=O)N1,-0.4016
CCCCCCCCOc1ccc(C(=O)c2ccccc2)c(O)c1,-5.5137980476
CC(C)(C)C(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,-3.73
CC12CCC(CC1=O)C2(C)C,-1.9784
Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O,-2.5784
O=C(O)COc1nc(Cl)c(Cl)cc1Cl,-2.7656
O=C1CCCCCNC(=O)CCCCCNC(=O)CCCCCNC(=O)CCCCCN1,-2.8126
C/C(C=O)=C/c1ccccc1,-2.4747186153
Fc1cc(Br)cc(F)c1F,-3.2102979357
O=C(O)c1cccs1,-1.2327
COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,-5.8221
Cc1cc2cccc3ccc4c5ccccc5cc1c4c32,-8.5224
O=C(O)c1ccc(Br)c([N+](=O)[O-])c1,-2.9677
CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-4.2445
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,-4.96
CC(O)CN(CC(C)O)C(=O)COC(=O)c1ccccc1,-1.18
CC(C)COC(N)=O,-0.3
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-3.35
COC(=O)c1cccnc1,-0.4595508588
CCCN1CC(C)n2c(nc3ccccc3c2=O)C1C,-2.24
c1cc[nH]c1,-0.1734
S=C=NCc1ccccc1,-3.1364
O=P(OC(Cl)CCCl)(OC(Cl)CCCl)OC(Cl)CCCl,-3.6344
O=C(NC(=O)c1ccccc1Cl)Nc1ccc(OC(F)(F)F)cc1,-7.1568
CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCC,-6.8994921961
CC1(C)CO1,-0.0945494336
Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O,-6.9515
Cc1ccccc1OCC(O)CO,-1.1887
O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1,-5.3633
OCC1=C[C@@H](O)[C@@H]2C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12,0.0119
ClCC(Cl)(Cl)CCl,-2.5785
CC(=O)CC(=O)Nc1ccc(NC(=O)CC(C)=O)cc1,-3.1275010898000004
CCCCCCCOC(=O)c1ccc(O)c(Br)c1,-4.42
CNC(=O)Oc1cccc(C(C)C)c1,-3.3567
CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,-7.483
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,-3.97
NC(=O)C[C@H](NC(=O)CCl)C(=O)O,-0.3193
C1CCC(NCCNC2CCCCC2)CC1,-0.98
O=C(Oc1ccccc1)n1c(=O)[nH]cc(F)c1=O,-3.22
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-4.16
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(=O)(=O)NP(=O)(O)O)cc2)cc1F,-2.55
ClC=C(Cl)Cl,-1.96
Cc1ccc2c([N+](=O)[O-])ccc(O)c2n1,-3.9598
CN(C)c1ncnc2[nH]cnc12,-1.3
c1ccc2c3c(ccc2c1)Sc1ccc2ccccc2c1N3,-7.9081
ONc1ccccc1,-0.4359
COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl,-8.0045326037
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,-7.2780387128
CC(C)C1OC(O)C(Cc2ccccc2)NC1=O,-2.28
O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,-3.8866
CCN(CC)C(=O)N(CC)CC,-0.6341
C[Si](O[Si](C)(C)C)O[Si](C)(C)C,-7.0443456956
NC(=O)C(Cl)CCl,-0.5138
c1ccc2c(c1)Nc1ccc3ccccc3c1S2,-6.5727
Clc1c(Cl)c(Cl)c(Oc2ccccc2)c(Cl)c1Cl,-7.94
O=[N+]([O-])OC1CCCCCC1O[N+](=O)[O-],-3.02
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,-4.5371
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,-4.4
O=C(O)Cc1ccc(O)cc1,-0.3990804112
CC(NC(=O)COC(=O)c1ccccc1)C(N)=O,-2.7172
CC(C)c1ccccc1,-3.2924
Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,-6.0892
CCC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-3.0514
COC(=O)C(N)Cc1ccc(O)c(O)c1,0.48
Clc1ccc(N2N=NC3C4CC(C5N=NC45)C32)cc1,-4.87
Clc1ccc(Oc2cccc(Cl)c2Cl)c(Cl)c1,-6.65
O=[N+]([O-])c1ccc(Cl)cc1C(F)(F)F,-3.3533
Cc1cccc2c1ccc1ccccc12,-5.8541
C[N+](C)(C)C(Cc1cnc(S)[nH]1)C(=O)[O-],-0.46
Nc1c2ccccc2nc2cccc([N+](=O)[O-])c12,-1.84
CCCCC(=O)CC,-1.4242
CC1(C(=O)O)NCCc2cc(O)c(O)cc21,-0.75
Cc1c(Nc2ccc(Br)cc2F)c(C(=O)NOCCO)cn(C)c1=O,-2.96
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,-2.9799872046
Cc1c(Cl)c(O)c(Cl)c(Cl)c1Cl,-4.6021
O=C(O)CCCCCCCCCCCC(=O)O,-3.79
CC1CCC(C(C)C)C(OO)C1,-2.5888216416
CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,-2.079
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,-3.2178
COC(=O)C(=O)c1ccccc1,-1.9142373478
CCCCOc1ccc([N+](=O)[O-])cc1N,-3.82
CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,-2.4361
CN(CCCCC(=O)O)S(=O)(=O)c1ccccc1,-1.5585
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,-5.6768
c1ccc(Cn2ccnc2)cc1,-2.26
CCCC(=O)OCOC(=O)c1cn(CC)c2nc(C)ccc2c1=O,-2.95
CCNC(=S)N1CCN(C(=O)OCC)CC1,-1.79
NC(=O)c1ccccn1,0.1685
OCC(CO)(CO)COCC(CO)(CO)CO,-1.9582
Cc1ccc(C=O)cc1,-1.7237015325
CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCCO4)c(Cl)c2)CC1,-2.05
Clc1ccccc1-c1ccc(Cl)c(Cl)c1Cl,-6.8299
COC(=O)CS(=O)(=O)c1ccc(Cl)cc1,-2.38
CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.2676
CCCCCCCCCCN(C)C,-4.0452878346
C1CC(COCC2CO2)CCC1COCC1CO1,-1.8357972344
COC(=O)C(CO)NC(=O)C(Cl)Cl,-0.06
FC1CC(F)(F)C(F)(F)C1(F)F,-2.436880918
CC(=O)OC1c2ccccc2N(C(N)=O)c2ccccc2C1OC(C)=O,-3.55
C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,-5.1495
CCOC(=O)c1[nH]c(C)cc1C,-2.6212
NCC(=O)NC(Cc1ccc(O)cc1)C(=O)O,-0.73
C#CCN(CC)CC,-0.6020131225
Clc1ccc(-c2c(Cl)cccc2Cl)cc1Cl,-7.0199
O=C(O)CCC(C(=O)O)N(CC(=O)O)CC(=O)O,0.0436038038999999
OCc1ccc(Cl)cc1Cl,-2.248
CCCCCCCCC(C)=O,-3.3085
C=COCCCC,-2.3379408202
CCCCOCC1CO1,-0.8135
CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)c2ccccc2)CSC1(C)C,-3.62
O=C1c2ccccc2C2=Nc3cccc4cccc(c34)N12,-7.255740326000001
CCCCCCCCC(=O)OC,-3.38
c1ccc(-c2nc3ncncc3[nH]2)cc1,-3.06
CC(C)OC(=O)c1cc(C(=O)OC(C)C)cc([N+](=O)[O-])c1,-5.0389
C(/C=C/c1ccccc1)=NCCCCCCN=C/C=C/c1ccccc1,-3.8937390711
C[C@@H](Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1)C(=O)O,-2.6227956692
CC(C)(C)S,-1.7878458675
C/C=C/C(=O)C1=C(C)C=CCC1(C)C,-3.0052489876
CC/C=C\C(=O)O,-0.2019
O=C1c2ccccc2C(=O)c2c(NCCCOCCOCCO)ccc(NCCCOCCOCCO)c21,0.0571886956
Oc1ccc(Cl)cc1Cl,-1.5589830837
Fc1ccc(F)cc1,-1.9709
CC(C)OC(=O)C1(S(=O)(=O)c2ccc(Cl)cc2)CCCC1,-4.6498
COc1ccc(C(=O)c2coc(S(N)(=O)=O)c2)cc1,-4.1481
c1ccc2c(c1)CCN2,-1.0427
CCCCOP(=O)(OCCCC)OCCCCOCC,-2.6468
CCOC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,0.1139
O=C(O)c1cc(Cl)c(Cl)cc1Cl,-2.4446
O=C(c1ccc(F)cc1)c1ccc(F)cc1,-4.396652184700001
CCCCCCCCCCCCN(CCCN)CCCN,-0.1977113735
[Pb],-3.0492180227
CC(=O)N[C@H](C(=O)O)C(C)C,-0.3599
N=c1nc(N2CCCCC2)cc(N)n1O,-1.9782
O=C(O)COc1cc(Cl)cc(Cl)c1,-2.3617
C1=CCCC1,-2.1049144818000003
CC(C)[C@@]12CC[C@@](C)(O1)[C@@H](O)C2,-0.288092629
C=CC(=O)OCCOc1ccccc1,-2.5636257131
CO[C@]1(C)CCC23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,-4.7401771795
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,-2.87
CC(=O)OC[C@H]1O[C@@](COC(C)=O)(O[C@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,-2.8726
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-3.83
CC(C)c1ccc2ccccc2c1,-5.297999999999999
O=C(O)CSC(=S)OCc1ccccc1,-2.68
CCCCOC(=O)CC,-1.9385
CCOP(=O)(Cc1ccc(-c2nc3ccccc3s2)cc1)OCC,-4.0017
CSC(CCC(SC)C(=O)O)C(=O)O,-2.89
COC(=O)c1cc(N=NC(C(C)=O)C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)cc(C(=O)OC)c1,-6.3777384512
Cc1occc1C(=O)Nc1ccccc1,-3.3037
C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,-7.3166
FC(F)(Cl)C(F)(F)Cl,-2.74
CCC(=O)C(C)=O,-0.1764
N#CCCNC(Cc1ccccc1)C(=O)O,-1.49
CSc1ncccn1,-0.402
O=[N+]([O-])c1ccc(Nc2ccccc2)c([N+](=O)[O-])c1,-3.834
O=C(O)COc1ccc(Cl)cc1CO,-2.0347
CCS(=O)(=O)CC,0.0433
CCCCCCCCCCCCC,-7.5936
Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-3.55
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,-3.4507
Cl/C=C/Cl,-1.1871803856999998
CN(C)NC(=N)N1Cc2cccc3cccc(c23)C1,-1.07
Cc1ccc(O)cc1C,-1.38
CC(CCC(=O)O)=NNC(=O)c1nccs1,-1.73
Cc1cccc(C)c1O,-1.292396158
O=c1[nH]c2cc(Cl)ccc2o1,-2.66
Nc1cc(Cl)nc(C(=O)O)c1Cl,-0.0042500518
O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)c(C(=O)OCC2CO2)c1,-2.7622964758
CC(C)OP(=S)(S)OC(C)C,-0.5528547078
CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,-2.3
O=C([O-])CCCCCCCCCCO,-2.7039
O=S=O,0.2235
CNS(=O)(=O)c1cc(OC)c(N/N=C2\C(=O)C(C(=O)Nc3ccc4[nH]c(=O)[nH]c4c3)=Cc3ccccc32)cc1C,-8.2171679788
CC(C)COC(=O)Cc1ccccc1,-3.2710471955
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,-4.8251168095
N#CC1([NH+]2CCCCC2)CC[NH+](Cc2ccccc2)CC1,-2.2459922106
CCC(CC)CO,-1.17
O=C(OCC1CO1)C1CC=CCC1C(=O)OCC1CO1,-1.3401088604
C#CC1(OC(=O)c2ccccc2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-7.75
Nc1c([N+](=O)[O-])ccc(Oc2ccccc2)c1Cl,-5.0248
Cn1c2ccccc2c(=O)c2ccccc21,-4.46
CCCCOC(=O)C(C)OC(=O)C(C)O,-1.3752
O=[Zn],-4.448167714599999
c1ccc(CNCc2ccccc2)cc1,-2.6876302374
Cc1c(Cc2c(C)n(C)n(-c3ccccc3)c2=O)c(=O)n(-c2ccccc2)n1C,-2.9549
O=C(OCC(=O)N1CCC1C(=O)O)c1ccccc1,-2.14
O=C(O)CC(Br)C(=O)O,-0.215
O=C(O)CC(CSC(=O)O)c1ccccc1,-1.24
O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,-6.8969
