SMILES,Solubility,Name
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,-5.17,Ritonavir
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,-4.61,Rofecoxib
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21,-4.21,Spironolactone
O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,-3.38,Strychnine
O=C(O)C1=C/C(=N\Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O,-6.41,Sulfasalazine
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-2.62,Sulfathiazole
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.16,Sulfisomidine
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,-3.13,Sulfisoxazole
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,-4.96,Sulindac
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,-3.11,Tetracaine
CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,-3.22,Tetracycline
CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,-3.5,Thiacetazone
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,-3.52,Triamcinolone
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,-4.11,Triamterene
CC(=O)CC(c1ccccc1)c1c(O)oc2ccccc2c1=O,-4.78,Warfarin
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,-3.6,Xanthine
