Feature_1,Category_1,Feature_2,Category_2,Correlation,Abs_Correlation
AUTOCORR2D_158,TOPOLOGICAL,AUTOCORR2D_174,TOPOLOGICAL,0.9905637550079411,0.9905637550079411
AUTOCORR2D_62,TOPOLOGICAL,AUTOCORR2D_78,TOPOLOGICAL,0.9896730719782136,0.9896730719782136
NumValenceElectrons,COMPOSITIONAL,HeavyAtomCount,COMPOSITIONAL,0.9893793824931917,0.9893793824931917
total_atoms,COMPOSITIONAL,NumValenceElectrons,COMPOSITIONAL,0.9893793199324157,0.9893793199324157
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_27,TOPOLOGICAL,0.9891440022473473,0.9891440022473473
AUTOCORR2D_9,TOPOLOGICAL,AUTOCORR2D_10,TOPOLOGICAL,0.9890312424254979,0.9890312424254979
AUTOCORR2D_31,TOPOLOGICAL,AUTOCORR2D_39,TOPOLOGICAL,0.988433326190488,0.988433326190488
Chi0,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9883736836984751,0.9883736836984751
Chi0n,TOPOLOGICAL,Chi1n,TOPOLOGICAL,0.9880642894870223,0.9880642894870223
AUTOCORR2D_23,TOPOLOGICAL,AUTOCORR2D_31,TOPOLOGICAL,0.9879492386846725,0.9879492386846725
AUTOCORR2D_61,TOPOLOGICAL,AUTOCORR2D_77,TOPOLOGICAL,0.9877720507590669,0.9877720507590669
AUTOCORR2D_13,TOPOLOGICAL,AUTOCORR2D_37,TOPOLOGICAL,0.9874774054547862,0.9874774054547862
total_atoms,COMPOSITIONAL,AUTOCORR2D_16,TOPOLOGICAL,0.9871997675965029,0.9871997675965029
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_16,TOPOLOGICAL,0.9871995738554212,0.9871995738554212
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_26,TOPOLOGICAL,0.9869910495023925,0.9869910495023925
AUTOCORR2D_157,TOPOLOGICAL,AUTOCORR2D_173,TOPOLOGICAL,0.9860878385788024,0.9860878385788024
AUTOCORR2D_13,TOPOLOGICAL,AUTOCORR2D_21,TOPOLOGICAL,0.9860090469700635,0.9860090469700635
AUTOCORR2D_17,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.985873847547085,0.985873847547085
AUTOCORR2D_33,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.9852649441415707,0.9852649441415707
AUTOCORR2D_16,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9849436805331023,0.9849436805331023
AUTOCORR2D_25,TOPOLOGICAL,AUTOCORR2D_26,TOPOLOGICAL,0.9846039894857075,0.9846039894857075
Chi3n,TOPOLOGICAL,Chi4n,TOPOLOGICAL,0.9845427106874798,0.9845427106874798
NumValenceElectrons,COMPOSITIONAL,Chi1,TOPOLOGICAL,0.9843240460057959,0.9843240460057959
AUTOCORR2D_9,TOPOLOGICAL,AUTOCORR2D_25,TOPOLOGICAL,0.9842114566893646,0.9842114566893646
AUTOCORR2D_7,TOPOLOGICAL,AUTOCORR2D_23,TOPOLOGICAL,0.983962290818197,0.983962290818197
mose_path3,TOPOLOGICAL,mose_path4,TOPOLOGICAL,0.9838062002008006,0.9838062002008006
AUTOCORR2D_63,TOPOLOGICAL,AUTOCORR2D_87,TOPOLOGICAL,0.9836049246397446,0.9836049246397446
AUTOCORR2D_12,TOPOLOGICAL,AUTOCORR2D_36,TOPOLOGICAL,0.9835250884991429,0.9835250884991429
AUTOCORR2D_9,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.9832570708919404,0.9832570708919404
total_atoms,COMPOSITIONAL,AUTOCORR2D_32,TOPOLOGICAL,0.9830398263973575,0.9830398263973575
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_32,TOPOLOGICAL,0.9830396077840236,0.9830396077840236
AUTOCORR2D_105,TOPOLOGICAL,AUTOCORR2D_121,TOPOLOGICAL,0.9829817438768248,0.9829817438768248
AUTOCORR2D_33,TOPOLOGICAL,AUTOCORR2D_34,TOPOLOGICAL,0.9827413708593962,0.9827413708593962
AUTOCORR2D_60,TOPOLOGICAL,AUTOCORR2D_76,TOPOLOGICAL,0.9825756918494226,0.9825756918494226
AUTOCORR2D_152,TOPOLOGICAL,AUTOCORR2D_168,TOPOLOGICAL,0.9824130879067237,0.9824130879067237
AUTOCORR2D_12,TOPOLOGICAL,AUTOCORR2D_20,TOPOLOGICAL,0.9822796436225611,0.9822796436225611
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_24,TOPOLOGICAL,0.9822243172145708,0.9822243172145708
AUTOCORR2D_32,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9820592244910514,0.9820592244910514
AUTOCORR2D_7,TOPOLOGICAL,AUTOCORR2D_39,TOPOLOGICAL,0.9818570662724446,0.9818570662724446
AUTOCORR2D_7,TOPOLOGICAL,AUTOCORR2D_15,TOPOLOGICAL,0.9816985439227612,0.9816985439227612
AUTOCORR2D_7,TOPOLOGICAL,AUTOCORR2D_31,TOPOLOGICAL,0.9816450132346042,0.9816450132346042
AUTOCORR2D_17,TOPOLOGICAL,AUTOCORR2D_18,TOPOLOGICAL,0.9816124947893917,0.9816124947893917
AUTOCORR2D_30,TOPOLOGICAL,AUTOCORR2D_38,TOPOLOGICAL,0.981496786972705,0.981496786972705
RingCount,COMPOSITIONAL,mose_fused,TOPOLOGICAL,0.9813494302025837,0.9813494302025837
AUTOCORR2D_22,TOPOLOGICAL,AUTOCORR2D_30,TOPOLOGICAL,0.9811585798061738,0.9811585798061738
AUTOCORR2D_17,TOPOLOGICAL,AUTOCORR2D_34,TOPOLOGICAL,0.9811055912012494,0.9811055912012494
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_11,TOPOLOGICAL,0.9809228663098073,0.9809228663098073
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_9,TOPOLOGICAL,0.9808679502333647,0.9808679502333647
Chi0v,TOPOLOGICAL,abraham_E,ENERGETIC,0.9808025050597065,0.9808025050597065
AUTOCORR2D_155,TOPOLOGICAL,AUTOCORR2D_171,TOPOLOGICAL,0.9805709224534719,0.9805709224534719
AUTOCORR2D_18,TOPOLOGICAL,AUTOCORR2D_33,TOPOLOGICAL,0.9787947279680678,0.9787947279680678
AUTOCORR2D_108,TOPOLOGICAL,AUTOCORR2D_124,TOPOLOGICAL,0.9787715674299509,0.9787715674299509
NHOHCount,COMPOSITIONAL,NumHDonors,COMPOSITIONAL,0.9785978077502243,0.9785978077502243
Chi3v,TOPOLOGICAL,Chi4v,TOPOLOGICAL,0.9784611930432877,0.9784611930432877
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_19,TOPOLOGICAL,0.978304101310136,0.978304101310136
AUTOCORR2D_16,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9782134069382457,0.9782134069382457
AUTOCORR2D_16,TOPOLOGICAL,AUTOCORR2D_17,TOPOLOGICAL,0.9781629636042125,0.9781629636042125
AUTOCORR2D_71,TOPOLOGICAL,AUTOCORR2D_79,TOPOLOGICAL,0.9781576160226255,0.9781576160226255
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_35,TOPOLOGICAL,0.9781280409481068,0.9781280409481068
AUTOCORR2D_156,TOPOLOGICAL,AUTOCORR2D_172,TOPOLOGICAL,0.9778260871769019,0.9778260871769019
AUTOCORR2D_6,TOPOLOGICAL,AUTOCORR2D_22,TOPOLOGICAL,0.977742979693212,0.977742979693212
AUTOCORR2D_109,TOPOLOGICAL,AUTOCORR2D_125,TOPOLOGICAL,0.9776753341460727,0.9776753341460727
AUTOCORR2D_9,TOPOLOGICAL,AUTOCORR2D_26,TOPOLOGICAL,0.9776115011088016,0.9776115011088016
AUTOCORR2D_26,TOPOLOGICAL,AUTOCORR2D_27,TOPOLOGICAL,0.9773848381145268,0.9773848381145268
AUTOCORR2D_34,TOPOLOGICAL,AUTOCORR2D_35,TOPOLOGICAL,0.9773197478368901,0.9773197478368901
AUTOCORR2D_71,TOPOLOGICAL,AUTOCORR2D_87,TOPOLOGICAL,0.9770225572635365,0.9770225572635365
AUTOCORR2D_104,TOPOLOGICAL,AUTOCORR2D_120,TOPOLOGICAL,0.976880911471015,0.976880911471015
AUTOCORR2D_18,TOPOLOGICAL,AUTOCORR2D_19,TOPOLOGICAL,0.9768561831965588,0.9768561831965588
AUTOCORR2D_107,TOPOLOGICAL,AUTOCORR2D_123,TOPOLOGICAL,0.9768383054152708,0.9768383054152708
AUTOCORR2D_32,TOPOLOGICAL,AUTOCORR2D_33,TOPOLOGICAL,0.9766496408899714,0.9766496408899714
AUTOCORR2D_154,TOPOLOGICAL,AUTOCORR2D_170,TOPOLOGICAL,0.9764214380265653,0.9764214380265653
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_18,TOPOLOGICAL,0.9763116229933074,0.9763116229933074
AUTOCORR2D_48,TOPOLOGICAL,AUTOCORR2D_49,TOPOLOGICAL,0.976310417690579,0.976310417690579
AUTOCORR2D_8,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9761792273665955,0.9761792273665955
AUTOCORR2D_16,TOPOLOGICAL,AUTOCORR2D_33,TOPOLOGICAL,0.9759948528784289,0.9759948528784289
AUTOCORR2D_12,TOPOLOGICAL,AUTOCORR2D_13,TOPOLOGICAL,0.9758147786580681,0.9758147786580681
total_atoms,COMPOSITIONAL,AUTOCORR2D_8,TOPOLOGICAL,0.9758074928183044,0.9758074928183044
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_8,TOPOLOGICAL,0.9758074863879731,0.9758074863879731
Chi0v,TOPOLOGICAL,Chi1v,TOPOLOGICAL,0.97578319269912,0.97578319269912
AUTOCORR2D_63,TOPOLOGICAL,AUTOCORR2D_71,TOPOLOGICAL,0.975772745205503,0.975772745205503
AUTOCORR2D_79,TOPOLOGICAL,AUTOCORR2D_87,TOPOLOGICAL,0.9757417246373739,0.9757417246373739
AUTOCORR2D_18,TOPOLOGICAL,AUTOCORR2D_35,TOPOLOGICAL,0.9757300257786501,0.9757300257786501
AUTOCORR2D_5,TOPOLOGICAL,AUTOCORR2D_21,TOPOLOGICAL,0.975582956079613,0.975582956079613
NumValenceElectrons,COMPOSITIONAL,Chi0n,TOPOLOGICAL,0.9755318563472549,0.9755318563472549
AUTOCORR2D_19,TOPOLOGICAL,AUTOCORR2D_34,TOPOLOGICAL,0.9754661434549274,0.9754661434549274
AUTOCORR2D_24,TOPOLOGICAL,AUTOCORR2D_25,TOPOLOGICAL,0.975032000150644,0.975032000150644
AUTOCORR2D_28,TOPOLOGICAL,AUTOCORR2D_29,TOPOLOGICAL,0.9750184109841857,0.9750184109841857
AUTOCORR2D_59,TOPOLOGICAL,AUTOCORR2D_75,TOPOLOGICAL,0.9749415538482517,0.9749415538482517
AUTOCORR2D_6,TOPOLOGICAL,AUTOCORR2D_30,TOPOLOGICAL,0.9748684734588109,0.9748684734588109
AUTOCORR2D_6,TOPOLOGICAL,AUTOCORR2D_14,TOPOLOGICAL,0.9747855043876024,0.9747855043876024
AUTOCORR2D_34,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.9746566280542226,0.9746566280542226
AUTOCORR2D_6,TOPOLOGICAL,AUTOCORR2D_38,TOPOLOGICAL,0.974412447124034,0.974412447124034
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_12,TOPOLOGICAL,0.9742814905211771,0.9742814905211771
AUTOCORR2D_10,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.9742529990146578,0.9742529990146578
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_34,TOPOLOGICAL,0.9740067533912293,0.9740067533912293
AUTOCORR2D_17,TOPOLOGICAL,AUTOCORR2D_32,TOPOLOGICAL,0.9736620335401783,0.9736620335401783
AUTOCORR2D_106,TOPOLOGICAL,AUTOCORR2D_122,TOPOLOGICAL,0.9735272651578792,0.9735272651578792
AUTOCORR2D_18,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.973392614693767,0.973392614693767
AUTOCORR2D_62,TOPOLOGICAL,AUTOCORR2D_86,TOPOLOGICAL,0.9732562966464507,0.9732562966464507
AUTOCORR2D_34,TOPOLOGICAL,mose_path4,TOPOLOGICAL,0.9730688266618106,0.9730688266618106
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_16,TOPOLOGICAL,0.9729428617169262,0.9729428617169262
AUTOCORR2D_16,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.9728136991189051,0.9728136991189051
AUTOCORR2D_153,TOPOLOGICAL,AUTOCORR2D_169,TOPOLOGICAL,0.9726327540355801,0.9726327540355801
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_27,TOPOLOGICAL,0.9723650591053702,0.9723650591053702
AUTOCORR2D_13,TOPOLOGICAL,AUTOCORR2D_28,TOPOLOGICAL,0.972073297833063,0.972073297833063
AUTOCORR2D_32,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9718966014531754,0.9718966014531754
AUTOCORR2D_5,TOPOLOGICAL,AUTOCORR2D_37,TOPOLOGICAL,0.9716637436198952,0.9716637436198952
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_25,TOPOLOGICAL,0.9716633175771126,0.9716633175771126
Chi1n,TOPOLOGICAL,Chi2n,TOPOLOGICAL,0.9712275170494454,0.9712275170494454
AUTOCORR2D_27,TOPOLOGICAL,AUTOCORR2D_28,TOPOLOGICAL,0.9710621504758143,0.9710621504758143
fr_phenol,COMPOSITIONAL,fr_phenol_noOrthoHbond,COMPOSITIONAL,0.9708773105695456,0.9708773105695456
AUTOCORR2D_10,TOPOLOGICAL,mose_path4,TOPOLOGICAL,0.9707288528582256,0.9707288528582256
AUTOCORR2D_9,TOPOLOGICAL,mose_path4,TOPOLOGICAL,0.970666682832357,0.970666682832357
AUTOCORR2D_17,TOPOLOGICAL,AUTOCORR2D_35,TOPOLOGICAL,0.9702111467629727,0.9702111467629727
AUTOCORR2D_18,TOPOLOGICAL,mose_path4,TOPOLOGICAL,0.9701970358381715,0.9701970358381715
AUTOCORR2D_110,TOPOLOGICAL,AUTOCORR2D_126,TOPOLOGICAL,0.9701502919095956,0.9701502919095956
AUTOCORR2D_32,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.9700622548385847,0.9700622548385847
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_11,TOPOLOGICAL,0.9697938965093996,0.9697938965093996
total_atoms,COMPOSITIONAL,AUTOCORR2D_12,TOPOLOGICAL,0.9697295161185142,0.9697295161185142
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_12,TOPOLOGICAL,0.9697294827649716,0.9697294827649716
AUTOCORR2D_17,TOPOLOGICAL,AUTOCORR2D_19,TOPOLOGICAL,0.9696318972502544,0.9696318972502544
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_10,TOPOLOGICAL,0.9695521654961379,0.9695521654961379
AUTOCORR2D_33,TOPOLOGICAL,AUTOCORR2D_35,TOPOLOGICAL,0.9694023442435917,0.9694023442435917
AUTOCORR2D_12,TOPOLOGICAL,AUTOCORR2D_29,TOPOLOGICAL,0.9694013284934891,0.9694013284934891
NumValenceElectrons,COMPOSITIONAL,Kappa1,TOPOLOGICAL,0.9693746740665872,0.9693746740665872
AUTOCORR2D_29,TOPOLOGICAL,AUTOCORR2D_37,TOPOLOGICAL,0.9692413424495682,0.9692413424495682
AUTOCORR2D_8,TOPOLOGICAL,abraham_E,ENERGETIC,0.9689332462904328,0.9689332462904328
mose_path3,TOPOLOGICAL,mose_path5,TOPOLOGICAL,0.9687296779442824,0.9687296779442824
AUTOCORR2D_9,TOPOLOGICAL,AUTOCORR2D_17,TOPOLOGICAL,0.9683040468155854,0.9683040468155854
AUTOCORR2D_9,TOPOLOGICAL,AUTOCORR2D_11,TOPOLOGICAL,0.9681882140971043,0.9681882140971043
AUTOCORR2D_16,TOPOLOGICAL,AUTOCORR2D_36,TOPOLOGICAL,0.9681753056506323,0.9681753056506323
AUTOCORR2D_12,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9681530486388364,0.9681530486388364
AUTOCORR2D_5,TOPOLOGICAL,AUTOCORR2D_13,TOPOLOGICAL,0.9681231430401197,0.9681231430401197
NumValenceElectrons,COMPOSITIONAL,AUTOCORR2D_16,TOPOLOGICAL,0.9680971190911356,0.9680971190911356
AUTOCORR2D_167,TOPOLOGICAL,AUTOCORR2D_183,TOPOLOGICAL,0.9679260069085491,0.9679260069085491
HeavyAtomMolWt,COMPOSITIONAL,AUTOCORR2D_0,TOPOLOGICAL,0.9679137247936326,0.9679137247936326
Chi1,TOPOLOGICAL,abraham_E,ENERGETIC,0.9675619842665539,0.9675619842665539
AUTOCORR2D_21,TOPOLOGICAL,AUTOCORR2D_29,TOPOLOGICAL,0.9675426716963724,0.9675426716963724
NumValenceElectrons,COMPOSITIONAL,Chi0v,TOPOLOGICAL,0.9675296476655226,0.9675296476655226
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_28,TOPOLOGICAL,0.9673802140714239,0.9673802140714239
Chi2n,TOPOLOGICAL,Chi3n,TOPOLOGICAL,0.9672823036415162,0.9672823036415162
AUTOCORR2D_80,TOPOLOGICAL,AUTOCORR2D_81,TOPOLOGICAL,0.9669234469232872,0.9669234469232872
AUTOCORR2D_57,TOPOLOGICAL,AUTOCORR2D_73,TOPOLOGICAL,0.9668082479744293,0.9668082479744293
AUTOCORR2D_111,TOPOLOGICAL,AUTOCORR2D_127,TOPOLOGICAL,0.9667349815916618,0.9667349815916618
AUTOCORR2D_16,TOPOLOGICAL,AUTOCORR2D_35,TOPOLOGICAL,0.9665575280837967,0.9665575280837967
total_atoms,COMPOSITIONAL,AUTOCORR2D_36,TOPOLOGICAL,0.9663936929741351,0.9663936929741351
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_36,TOPOLOGICAL,0.9663936597353272,0.9663936597353272
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_32,TOPOLOGICAL,0.9662663818299485,0.9662663818299485
AUTOCORR2D_12,TOPOLOGICAL,AUTOCORR2D_37,TOPOLOGICAL,0.9662461549101705,0.9662461549101705
AUTOCORR2D_33,TOPOLOGICAL,mose_path4,TOPOLOGICAL,0.9661147969526617,0.9661147969526617
AUTOCORR2D_16,TOPOLOGICAL,AUTOCORR2D_20,TOPOLOGICAL,0.9661107042642103,0.9661107042642103
AUTOCORR2D_8,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.9661080729834721,0.9661080729834721
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_26,TOPOLOGICAL,0.9659762476344262,0.9659762476344262
AUTOCORR2D_36,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9659744810873373,0.9659744810873373
AUTOCORR2D_36,TOPOLOGICAL,AUTOCORR2D_37,TOPOLOGICAL,0.9658244796636773,0.9658244796636773
HeavyAtomCount,COMPOSITIONAL,abraham_E,ENERGETIC,0.9657452457172383,0.9657452457172383
total_atoms,COMPOSITIONAL,abraham_E,ENERGETIC,0.9657450164748818,0.9657450164748818
AUTOCORR2D_21,TOPOLOGICAL,AUTOCORR2D_36,TOPOLOGICAL,0.9657020474074234,0.9657020474074234
AUTOCORR2D_12,TOPOLOGICAL,AUTOCORR2D_21,TOPOLOGICAL,0.9655459343979242,0.9655459343979242
AUTOCORR2D_19,TOPOLOGICAL,AUTOCORR2D_33,TOPOLOGICAL,0.9652952962809248,0.9652952962809248
AUTOCORR2D_32,TOPOLOGICAL,AUTOCORR2D_35,TOPOLOGICAL,0.9651946685433486,0.9651946685433486
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_27,TOPOLOGICAL,0.9651905133757063,0.9651905133757063
AUTOCORR2D_35,TOPOLOGICAL,AUTOCORR2D_36,TOPOLOGICAL,0.9651296918148115,0.9651296918148115
AUTOCORR2D_58,TOPOLOGICAL,AUTOCORR2D_74,TOPOLOGICAL,0.9649846648934706,0.9649846648934706
AUTOCORR2D_9,TOPOLOGICAL,AUTOCORR2D_33,TOPOLOGICAL,0.9649699349738741,0.9649699349738741
AUTOCORR2D_20,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9649106153717607,0.9649106153717607
AUTOCORR2D_29,TOPOLOGICAL,AUTOCORR2D_30,TOPOLOGICAL,0.9648554238452358,0.9648554238452358
AUTOCORR2D_12,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9646721699735964,0.9646721699735964
AUTOCORR2D_24,TOPOLOGICAL,AUTOCORR2D_26,TOPOLOGICAL,0.9646460481422084,0.9646460481422084
AUTOCORR2D_32,TOPOLOGICAL,AUTOCORR2D_36,TOPOLOGICAL,0.9646357135817119,0.9646357135817119
AUTOCORR2D_159,TOPOLOGICAL,AUTOCORR2D_183,TOPOLOGICAL,0.9644800976720984,0.9644800976720984
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_12,TOPOLOGICAL,0.964422220220244,0.964422220220244
AUTOCORR2D_32,TOPOLOGICAL,AUTOCORR2D_34,TOPOLOGICAL,0.9642364078804571,0.9642364078804571
AUTOCORR2D_20,TOPOLOGICAL,AUTOCORR2D_21,TOPOLOGICAL,0.9642001064282281,0.9642001064282281
AUTOCORR2D_20,TOPOLOGICAL,AUTOCORR2D_35,TOPOLOGICAL,0.9641888100642177,0.9641888100642177
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_25,TOPOLOGICAL,0.9640955797870949,0.9640955797870949
total_atoms,COMPOSITIONAL,AUTOCORR2D_20,TOPOLOGICAL,0.9640349775627992,0.9640349775627992
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_20,TOPOLOGICAL,0.9640349444051185,0.9640349444051185
AUTOCORR2D_16,TOPOLOGICAL,AUTOCORR2D_34,TOPOLOGICAL,0.9638909455023866,0.9638909455023866
AUTOCORR2D_16,TOPOLOGICAL,AUTOCORR2D_19,TOPOLOGICAL,0.9638562703294323,0.9638562703294323
AUTOCORR2D_12,TOPOLOGICAL,AUTOCORR2D_27,TOPOLOGICAL,0.9638387014506662,0.9638387014506662
AUTOCORR2D_19,TOPOLOGICAL,AUTOCORR2D_20,TOPOLOGICAL,0.9637540610617779,0.9637540610617779
AUTOCORR2D_9,TOPOLOGICAL,AUTOCORR2D_24,TOPOLOGICAL,0.9637101480520786,0.9637101480520786
AUTOCORR2D_70,TOPOLOGICAL,AUTOCORR2D_86,TOPOLOGICAL,0.9635848162221254,0.9635848162221254
Chi1v,TOPOLOGICAL,Chi2v,TOPOLOGICAL,0.9634566393048749,0.9634566393048749
AUTOCORR2D_13,TOPOLOGICAL,AUTOCORR2D_14,TOPOLOGICAL,0.9632687868638591,0.9632687868638591
AUTOCORR2D_20,TOPOLOGICAL,AUTOCORR2D_37,TOPOLOGICAL,0.9632084662381941,0.9632084662381941
HeavyAtomCount,COMPOSITIONAL,Chi0n,TOPOLOGICAL,0.9630435985864584,0.9630435985864584
total_atoms,COMPOSITIONAL,Chi0n,TOPOLOGICAL,0.9630434765525471,0.9630434765525471
AUTOCORR2D_17,TOPOLOGICAL,mose_path4,TOPOLOGICAL,0.9629969594410458,0.9629969594410458
AUTOCORR2D_19,TOPOLOGICAL,AUTOCORR2D_36,TOPOLOGICAL,0.9628535277261816,0.9628535277261816
Chi0n,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9627899393610729,0.9627899393610729
Chi0,TOPOLOGICAL,Chi0n,TOPOLOGICAL,0.9627853723705168,0.9627853723705168
